gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
feng'zhi'guan 丰之观：望城抱子，见邑不殆。公孙上堂，大君悦喜。
feng'zhi'ke'shi 丰之噬嗑：左指右麾，邪淫侈靡。执节无良，灵公以亡。
feng'zhi'ben 丰之贲：日中为市，各持所有，交易资贿。函珠怀宝。
kui'zhi'song 丰之剥：山没丘浮，陆为水鱼，燕雀无庐。
feng'zhi'fu 丰之复：马服长股，宜行善市。蒙佑谐偶，获利五倍。终日在市，诘朝获利。既享嘉福，得之以义。
feng'zhi'wu'wang 丰之无妄：三狸捕鼠，遮遏前后。死于环域，不得脱走。
feng'zhi'da'xu 丰之大畜：鬼舞国社，岁乐民喜。臣忠于君，子孝于父。
feng'zhi'yi 丰之颐：慈母望子，遥思不已。久客外野，我心悲苦。
feng'zhi'da'guo 丰之大过：雨师娶妇，黄岩季子。成礼既婚，相呼南去。膏润下土，年岁大有。
feng'zhi'kan 丰之坎：百狗同室，相啮争食。枉矢西流，射我暴国。高宗鬼方，三年乃服。
feng'zhi'li 丰之离：早霜晚雪，伤害禾麦。损功弃力，饥无可食。
feng'zhi'xian 丰之咸：腐臭所在，青绳集聚，变白为黑，败乱邦国。君为臣逐，失其宠禄。
feng'zhi'heng 丰之恒：牵羊不与，与心戾旋。闻言不信，误绐丈人。
feng'zhi'dun 丰之遯：甘忍利害，还相克敌。商子酷刑，鞅丧厥身。
feng'zhi'da'zhuang丰之大壮：刲羊不当，女执空筐。兔跛鹿踦，缘山坠堕。
feng'zhi'jin丰之晋：??????啮啮，贫鬼相责。无有欢怡，一日九结。
feng'zhi'ming'yi 丰之明夷：两足四翼，飞入嘉国。宁我伯姊，与母相得。
feng'zhi'jia'ren 丰之家人：天山紫芝，雍梁朱草。长生和气，王以为宝。公尸侑食，福禄来处。
feng'zhi'kui 丰之睽：绝世游魂，福禄不存。精神涣散，离其躬身。
feng'zhi'jian 丰之蹇：北辰紫宫，衣冠立中。含弘建德，常受大福。
feng'zhi'jie 丰之解：伯蹇叔喑，莫与守株。失我衣裘，代尔阴乡。
feng'zhi'sun 丰之损：两女共室，心不聊食。首发如蓬，忧常在中。
feng'zhi'yi 丰之益：去辛就蓼，毒愈苦甚。避穽遇坑，忧患日主。
feng'zhi'kuai 丰之夬：初病终凶，季为死丧，不见光明。
feng'zhi'gou 丰之姤：三鸟飞来，自到逢时。俱行先至，多得大利。
feng'zhi'cui 丰之萃：鹿食山草，不思邑里，虽久无咎。
feng'zhi'sheng 丰之升：羊肠九萦，相推稍前。止须王孙，乃能上天。
feng'zhi'kun 丰之困：管仲遇桓，得其愿欢。胶牢振冠，冠带无忧。笑戏不庄，空言妄行。
fu'zhi'li 丰之井：桀跖并处，民困愁苦。行旅迟迟，留连齐鲁。
feng'zhi'ge 丰之革：魂孤无室，衘指不食。盗张民饵，见敌失福。
feng'zhi'ding 丰之鼎：谗言乱国，覆是为非。伯奇乖难，恭子忧哀。
gan'zhi'sheng 丰之震：卫侯东游，惑于少姬。亡我考妣，久迷不来。
feng'zhi'gen 丰之艮：鸡鸣同兴，思邪无家。执佩持凫，莫使致之。
feng'zhi'jian 丰之渐：义不胜情，以欲自荣。觊利危宠，摧角折颈。
feng'zhi'gui'mei 丰之归妹：臣尊主卑，拥力日衰。侵夺无光，三家逐公。
feng'zhi'lv 丰之旅：叔仲善贾，与喜为市。不忧危殆，利得十倍。
feng'zhi'xun 丰之巽：六虵奔走，俱入茂草。惊于长路，畏惧啄口。
feng'zhi'dui 丰之兑：水坏我里，东流为海。凫鼃欢嚣，不得安居。
feng'zhi'huan 丰之涣：飞不远去，卑斯内侍，禄养未富。
feng'zhi'jie 丰之节：阴变为阳，女化为男。治道大通，君臣相承。
feng'zhi'zhong'fu 丰之中孚：践履危难，脱厄去患。入福喜门，见诲大君。
feng'zhi'xiao'guo 丰之小过：罟密网缩，动益蹶急，困不得息。
feng'zhi'ji'ji 丰之既济：负牛上山，力劣行难。烈风雨雪，遮遏我前。中道复还。
feng'zhi'wei'ji 丰之未济：喁喁嘉草，思降甘雨。景风升上，沾洽时澍，生我禾稼。
lv'zhi'lv 旅之旅：罗网四张，鸟无所翔。征伐困极，饥穷不食。
lv'zhi'gan 旅之乾：寄生无根，如过浮云。立本不固，斯须落去，更为枯树。
lv'zhi'kun 旅之坤：人无定法，绶降牛出，虵雄走趋。阳不制阴，宜其家国。
lv'zhi'tun 旅之屯：众鸟所聚，中有大怪，九身无头。魂惊魄去，不可以居。
lv'zhi'meng 旅之蒙：封豕沟渎，灌溃国邑。火宿口中，民多疾病。
lv'zhi'xu 旅之需：奋翅鼓翼，翱翔外国。逍遥徙倚，来归温室。
lv'zhi'song 旅之讼：秋蚕不成，冬种不生。殷王逆理，弃其宠荣。
lv'zhi'shi 旅之师：卫侯东游，惑于少姬。忘我考妣，久迷不来。
lv'zhi'bi 旅之比：乌合卒会，与恶相得。鸱鴞相酬，为心所贼。
lv'zhi'xiao'xu 旅之小畜：鸣鸡无距，与鹊格鬭。翅折目盲，为仇所伤。
lv'zhi'lv 旅之履：木生内蠹，上下相贼，祸乱我国。
lv'zhi'tai 旅之泰：延陵适鲁，观乐太史。车辚白颠，知秦兴起。卒兼其国，一统为主。
lv'zhi'pi 旅之否：辅相之好，无有休息。时行云集，所在遇福。
lv'zhi'tong'ren 旅之同人：床倾箦折，屋漏垣缺，季姬不惬。
lv'zhi'da'you 旅之大有：东入海口，循流北走。一高一下，五色无主。七日六夜，死于水浦。
lv'zhi'qian 旅之谦：群虎入邑，求索肉食。大人御守，君不失国。
lv'zhi'yu 旅之豫：四乱不安，东西为患。退身止足，无出邦域。乃得完全，赖其生福。
lv'zhi'sui 旅之随：叔盻抱冤，祁子自邑。乘遽解患，羊舌以免。赖其福全。
lv'zhi'gu 旅之蛊：延颈望酒，不入我口。深目自苦，利得无有。
lv'zhi'lin 旅之临：仁政之德，恭恭日息。成都就邑，人受厥福。
lv'zhi'guan 旅之观：牵头系尾，屈折几死。周世无人，不知所归。
lv'zhi'ke'shi 旅之噬嗑：教羊逐兔，使鱼相捕。任非其人，费日无功。
lv'zhi'ben 旅之贲：生角有尾，张孽制家，排羊逐狐。张氏易公，忧祸重凶。
lv'zhi'bo 旅之剥：去安就危，坠陷井池，破我玉瑀。
lv'zhi'fu 旅之复：茹芝饵黄，涂饮玉英。与神流通，长无忧凶。
lv'zhi'wu'wang 旅之无妄：体重飞难，未能越关。
lv'zhi'da'xu 旅之大畜：巢成树折，伤我彝器。伯踒叔跌，亡羊乃追。
lv'zhi'yi 旅之颐：六人俱行，各遗其囊。黄鹄失珠，无以为明。
lv'zhi'da'guo 旅之大过：蟠梅折枝，与母分离，绝不相知。
lv'zhi'kan 旅之坎：迎福开户，喜随我后。曹伯恺悌，为宋国主。
lv'zhi'li 旅之离：既痴且狂，两目又盲。箕踞喑哑，名为无中。
lv'zhi'xian 旅之咸：金梁铁柱，千年牢固。完全不腐，圣人安处。
lv'zhi'heng 旅之恒：褁糗荷粮，与跖相逢。欲飞不得，为网所获。
lv'zhi'dun 旅之遯：彭名为妖，暴龙作灾。盗尧衣裳，聚跖荷兵。青禽照夜，三旦夷亡。
lv'zhi'da'zhaung 旅之大壮：独夫老妇，不能生子，鳏寡俱处。
lv'zhi'jin 旅之晋：鹪鹩窃脂，巢于小枝。摇动不安，为风所吹，心寒飘摇，常忧危殆。
lv'zhi'ming'yi 旅之明夷：素车木马，不任负重。王子出征，忧危为咎。
lv'zhi'jia'ren 旅之家人：土陷四维，安平不危。利以居止，保有玉女。
lv'zhi'kui 旅之睽：负牛上山，力劣行难。烈风雨雪，遮遏我前。中道复还。
lv'zhi'jian 旅之蹇：金城铁郭，上下同力。政平民亲，寇不敢贼。
lv'zhi'jie 旅之解：清洁渊塞，为人所言。证讯诘问，系于枳温。甘棠听断，昭然蒙恩。
lv'zhi'sun 旅之损：皋陶听理，岐伯悦喜。西登华道，东归无咎。
lv'zhi'yi 旅之益：低头窃视，有所畏避。行作未利，酒酸鱼败，重莫贪嗜。
lv'zhi'kuai 旅之夬：十雉百雏，常与母俱。抱鸡搏虎，谁肯为侣？
lv'zhi'gou 旅之姤：高阜山陵，陂陁颠崩。为国妖祥，元后以薨。
lv'zhi'cui 旅之萃：六鷁退飞，为衰败祥。陈师合战，左股疾伤。遂以薨崩，霸功不成。
lv'zhi'sheng 旅之升：异国殊俗，情不相得。金木为仇，百战檀谷。
lv'zhi'kun 旅之困：鸦噪庭中，以戒灾凶。重门击柝，备忧暴客。
lv'zhi'jing 旅之井：慈母赤子，享赐得士，获夷服除。以安王家，侧陋逢时。
lv'zhi'ge 旅之革：剗迹恶人，使德不通。炎旱为灾，年谷大伤。
lv'zhi'ding 旅之鼎：躬履孔德，以待束带。文君燎猎，吕尚获福。号称太师，封建齐国。
lv'zhi'zhen 旅之震：征将止恶，鼓鞞除贼。庆仲奔莒，子般获福。
lv'zhi'gen 旅之艮：良夫淑女，配合相保。多孙众子，欢乐长久。
lv'zhi'jian 旅之渐：蜲蛇四壮，恩念父母。王事靡盬，不我安处。
lv'zhi'gui'mei 旅之归妹：水坏我里，东流为海。凫龟欢嚣，不得安居。
lv'zhi'feng 旅之丰：束帛戋戋，赙我孟宣。徵召送君，变号易字。
lv'zhi'xun 旅之巽：乾行大德，覆赡六合。呕喣成熟，使我福德。
lv'zhi'dui 旅之兑：秦晋大国，更相克贼。获惠质圉，郑被其咎。
lv'zhi'huan 旅之涣：晦昧昏明，君无纪纲。甲子成乱，简公丧亡。
lv'zhi'jie 旅之节：三足无头，弗知所之。心狂精伤，莫使为明，不见月光。
lv'zhi'zhong'fu 旅之中孚：长夜短日，阴为阳贼。万物空枯，藏在北陆。
lv'zhi'xiao'guo 旅之小过：依宵夜游，与大君俱。除解烦惑，使我无忧。
lv'zhi'ji'ji 旅之既济：逐鹿南山，利入我门。阴阳和调，国无灾残。长子出游，须其仁君。
lv'zhi'wei'ji 旅之未济：请冀左耳，啬不我驱，与我父母。
xun'zhi'xun 巽之巽：温山松柏，常茂不落。鸾凤以庇，得其欢乐。
xun'zhi'gan 巽之乾：采唐沬卿，要期桑中。失信不会，忧思约带。
xun'zhi'kun 巽之坤：有鸟飞来，集于宫树。鸣声可畏，主将出去。
xun'zhi'tun 巽之屯：仁政之德，参参日息。成都就邑，入受厥福。
xun'zhi'meng 巽之蒙：他山之储，与璆为仇。来攻吾城，伤我肌肤。邦家搔忧。
xun'zhi'sui 巽之需：赍贝赎狸，不听我辞。系于虎须，牵不得来。
xun'zhi'song 巽之讼：一簧两舌，妄言陷语。三奸惑虚，曾母投杼。
xun'zhi'shi 巽之师：薄行搔尾，逐云除水。污泥为陆，下田宜稷。
xun'zhi'bi 巽之比：天门九重，深内难通。明坐至暮，不见神公。
xun'zhi'xiao'xu 巽之小畜：暗目不明，耳阏听聪。陷入深渊，灭顶忧凶。
xun'zhi'lv 巽之履：雾露早霜，日暗不明。阴阳孽疾，年谷大伤。
xun'zhi'tai 巽之泰：三谐土廊，德义明堂。交让往来，享燕相承。箕伯朝王，锡我玄黄。
xun'zhi'pi 巽之否：争鸡失羊，利得不长。陈蔡之患，赖楚以安。
xun'zhi'tong'ren 巽之同人：天旱水涸，枯槁无泽，未有所获。
xun'zhi'da'you 巽之大有：陶朱白圭，善贾息赀。公子王孙，富利不贫。
xun'zhi'qian 巽之谦：龟厌江海，陆行不止。自令枯槁，失其都市。忧悔为咎。
xun'zhi'yu 巽之豫：黄鸟采蓄，既稼不荅。念吾父兄，思复邦国。
xun'zhi'sui 巽之随：田鼠野雏，意常欲逃。拘制笼槛，不得动摇。
xun'zhi'gu 巽之蛊：平国不君，夏氏作乱。乌号窃发，灵公殒命。
xun'zhi'lin 巽之临：巨虵大鰌，战于国郊。上下闭塞，君道走逃。
xun'zhi'guan 巽之观：谗言乱国，覆是为非。伯奇流离，恭子忧哀。
xun'zhi'ke'shi 巽之噬嗑：郁怏不明，为阴所伤。众雾集聚，共夺日光。
xun'zhi'ben 巽之贲：望城抱子，见邑不殆。公孙上堂，大君欢喜。
xun'zhi'bo 巽之剥：三虫作蛊，剗迹无与。胜母盗泉，君子弗处。
xun'zhi'fu 巽之复：车驰人趋，卷甲相求。齐鲁寇戎，败于大丘。
xun'zhi'wu'wang 巽之无妄：欲访子车，善相欺绐。桓叔相迎，不见所期。
xun'zhi'da'xu 巽之大畜：争鸡失羊，亡其金囊，利得不长。陈蔡之患，赖楚以安。
xun'zhi'yi 巽之颐：岁暮花落，阳入阴室。万物伏藏，匿不可得。
xun'zhi'da'guo 巽之大过：晨风文翮，大举就温。过我成邑，羿无所得。
xun'zhi'kan 巽之坎：时鹄抱子，见蛇何咎？室家俱在，不失其所。
xun'zhi'li 巽之离：隐隐大雷，霶霈为雨。有女痴狂，惊骇邻里。
xun'zhi'xian 巽之咸：无足断跟，居处不安，凶恶为患。
xun'zhi'heng 巽之恒：破筐敝筥，弃捐于道，不复为宝。
xun'zhi'dun 巽之遯：三鸡啄粟，十雏从食。饥鸢卒击，亡其两叔。
xun'zhi'da'zhaung 巽之大壮：乘车七百，以明文德。践土葵丘，齐晋受福。
xun'zhi'jin 巽之晋：百足俱行，相辅为强。三圣翼事，王室宠光。
xun'zhi'ming'yi 巽之明夷：典策法书，藏阁兰台。虽遭溃乱，独不逢灾。
xun'zhi'jia'ren 巽之家人：四诛不服，恃强负力。倍道趋敌，师徒败覆。
xun'zhi'kui 巽之睽：春阳生草，夏长条肄。万物蕃滋，充实益有。
xun'zhi'jian 巽之蹇：磝磝秃白，不生黍稷。无以供祭，祇灵乏祀。
xun'zhi'jie 巽之解：褰衣涉河，水深渍罢。赖幸舟子，济脱无他。
xun'zhi'sun 巽之损：宜行贾市，所求必倍。戴喜抱子，与利为友。
xun'zhi'yi 巽之益：兄征东夷，弟伐辽西。大克胜还，封君河间。
xun'zhi'kuai 巽之夬：初虽惊惶，后乃无伤，受其福庆。
xun'zhi'gou 巽之姤：随风乘龙，与利相逢。田获三倍，商旅有功。憧憧之邑，长安无他。
xun'zhi'cui 巽之萃：鱼扰水浊，寇围吾邑。城危不安，惊恐狂惑。
xun'zhi'sheng 巽之升：虽穷复通，履危不凶，保其明公。
xun'zhi'kun 巽之困：坤厚地德，庶物蕃息。平康正直，以绥大福。
xian'zhi'yu 巽之井：山水暴怒，坏梁折柱。稽难行旅，留连愁苦。
xun'zhi'ge 巽之革：使燕筑室，身不庇宿。家无聊赖，歼我衣服。
xun'zhi'ding 巽之鼎：矢石所射，襄公?剧。吴子巢门，伤病不治。
xun'zhi'zhen 巽之震：日月运行，一寒一暑。荣宠赫赫，不可得保。颠陨坠堕，更为士伍。
xun'zhi'gen 巽之艮：宫门愁鸣，臣围其君，不得东西。
xun'zhi'jian 巽之渐：戴盆望天，不见星辰。顾小失大，福逃墙外。
xun'zhi'gui'mei 巽之归妹：天之所明，祸不遇家。反自相逐，终得和鸣。
xun'zhi'feng 巽之丰：天阴霖雨，涂行泥潦。商人休止，市无所有。
xun'zhi'lv 巽之旅：嘉门福喜，增累盛炽。日就有德，宜民宜国。
xun'zhi'dui 巽之兑：南山之阳，华叶将将。嘉乐君子，为国宠光。
zhen'zhi'lin 巽之涣：画龙头颈，文章未成。甘言美语，说辞无名。
xun'zhi'jie 巽之节：婴儿孩子，未有所识。彼童而角，乱我政事。
xun'zhi'zhong'fu 巽之中孚：阴作大奸，欲君勿言。鸿鹄利口，发患祸端。荆季怀忧，张伯被患。
xun'zhi'xiao'guo 巽之小过：德之流行，利之四乡。雨师洒道，风伯逐殃。巡狩封禅，以告成功。
xun'zhi'ji'ji 巽之既济：禹将为君，装入昆仑。稍进阳光，登见温汤。功德昭明。
xun'zhi'wei'ji 巽之未济：五岳四渎，含润为德。行不失理，民赖恩福。
dui'zhi'dui 兑之兑：班马还师，以息劳疲。后夫嘉喜，入户见妻。
dui'zhi'gan 兑之乾：践履危难，脱危去患。入福喜门，见悔大君。
dui'zhi'kun 兑之坤：子锄执麟，《春秋》作元。阴圣将终，尼父悲心。
dui'zhi'tun 兑之屯：夹河为婚，期至无船。摇心失望，不见所欢。
dui'zhi'meng 兑之蒙：天孙帝子，与日月处。光荣于世，福禄繁祉。
dui'zhi'xu 兑之需：三年人妻，相随奔驰。终日不食，精气劳疲。
dui'zhi'song 兑之讼：禹召诸侯，会稽南山。执玉万国，天下康宁。
dui'zhi'shi 兑之师：早霜晚雪，伤害禾麦。损功弃力，饥无所食。
dui'zhi'bi 兑之比：嵩融持戟，杜伯荷弩，降观下国，诛逐无道。夏商之季，失埶外走。
dui'zhi'xiao'xu 兑之小畜：生有圣德，上配大极。皇灵建中，受我以福。
dui'zhi'lv 兑之履：下田陆黍，万华生齿。大雨霖集，波病溃腐。
dui'zhi'tai 兑之泰：子畏于匡，困厄陈蔡。明德不危，竟克免害。
dui'zhi'pi 兑之否：有两赤头，从五岳来。谣言无佑，趍尔之林。俯伏听命，不敢动摇。
dui'zhi'tong'ren 兑之同人：当得自如，不逢凶灾。衰者复兴，终无祸来。
dui'zhi'da'you 兑之大有：朽根刖树，华叶落去。卒逢大焱，随风僵仆。
dui'zhi'qian 兑之谦：葛生衍蔓，絺綌为愿。家道笃厚，父兄悦喜。
dui'zhi'yu 兑之豫：东行求玉，反得弊石。名曰无直，字曰丑恶。众所贱薄。
dui'zhi'sui 兑之随：瞻白因弦，驽孱恐怯。任力堕劣，如猬见鹊。偃视恐伏，不敢拒格。
dui'zhi'gu 兑之蛊：疮痍多病，宋公危殆。吴子巢门，无命失所。
dui'zhi'lin 兑之临：东山西岳，会合俱食。百喜送从，以成恩福。
dui'zhi'guan 兑之观：舞非其处，失节多悔，不合我意。
dui'zhi'ke'shi 兑之噬嗑：南循汝水，茂树斩枝。过时不遇，惄如周饥。
dui'zhi'ben 兑之贲：公孙驾骊，载游东齐。延陵说产，遗我紵衣。
dui'zhi'bo 兑之剥：乘舆八百，以明文德。践土葵丘，齐晋受福。
dui'zhi'fu 兑之复：雄处弱水，雌在海边。别离将食，哀悲于心。
dui'zhi'wu'wang 兑之无妄：结网得解，受福安坐，终无患祸。
dui'zhi'da'xu 兑之大畜：秋南春北，随时休息。处和履中，安无忧凶。
dui'zhi'yi 兑之颐：启户开门，巡狩释冤。夏台羑里，汤文悦喜。
dui'zhi'da'guo 兑之大过：符左契右，相与合齿。乾坤利贞，乳生六子。长大成就，风言如母。
dui'zhi'kan 兑之坎：饥蚕作室，丝多乱绪，端不可得。
dui'zhi'li 兑之离：东壁饰光，数暗不明。主母嫉妬，乱我业事。
dui'zhi'xian 兑之咸：白茅缩酒，灵巫拜祷。神嗜饮食，使君寿考。
dui'zhi'heng 兑之恒：范公陶夷，巧贾货资。东之营丘，易字子皮。抱珠载金，多得利归。
dui'zhi'dun 兑之遯：三羖五?，相随俱行。迷入空泽，循谷宜北。经涉六驳，为所伤贼。
dui'zhi'da'zhaung 兑之大壮：雄鹄延颈，欲飞入关。雨师洒道，瀸我袍裘。重车难前，侍者稽止。
dui'zhi'jin 兑之晋：中年蒙庆，今岁受福。必有所得，荣宠受禄。
dui'zhi'ming'yi 兑之明夷：禄如周公，建国洛东，父子俱封。
dui'zhi'jia'ren 兑之家人：安床厚褥，不得久宿。弃我嘉宴，困于东国。投杼之忧，不成灾福。
dui'zhi'kui 兑之睽：蓄积有馀，粪土不居。
dui'zhi'jian 兑之蹇：心愿所喜，乃今逢时。得我利福，不离兵革。
dui'zhi'jie 兑之解：目不可合，忧来搔足。怵惕危惧，去其邦族。
dui'zhi'sun 兑之损：福德之士，欢悦日喜。夷吾相桓，三归为臣，赏流子孙。
dui'zhi'yi 兑之益：夏姬附耳，心听悦喜，利以传取。
dui'zhi'kuai 兑之夬：叔迎兄弟，遇恭在阳。君子季姬。并坐鼓簧。
dui'zhi'gou 兑之姤：徙巢去家，南遇白乌。东西受福，与喜相得。
dui'zhi'cui 兑之萃：舜登大禹，石夷之野。徵诣玉阙，拜治水土。
dui'zhi'sheng 兑之升：江河淮海，天之都市。商人受福，国家富有。
dui'zhi'kun 兑之困：隐隐填填，火烧山根。不润我邻，独不蒙恩。
dui'zhi'jing 兑之井：暗昧不明，耳聋不聪。陷入深渊，灭顶忧凶。
dui'zhi'ge 兑之革：鸟鸣喈喈，天火将下。燔我馆舍，灾及妃后。
dui'zhi'ding 兑之鼎：十雉百雏，常与母俱。抱鸡搏虎，谁敢难者？
dui'zhi'zhen 兑之震：营城洛邑，周公所作。世建三十，年历七百。福佑盟执，坚固不落。
dui'zhi'gen 兑之艮：三人俱行，别离将食。一身五心，反复迷惑。
dui'zhi'jian 兑之渐：三虎搏狼，力不相当。如鹰格雉，一发破亡。
dui'zhi'gui'mei 兑之归妺：养虎畜狼，还自贼伤。年岁息长，疾君拜祷，虽危不凶。
dui'zhi'feng 兑之丰：后时失利，不得所欲。
dui'zhi'lv 兑之旅：雉兔之东，以理为伤。见鹰惊走，死于谷口。
dui'zhi'xun 兑之巽：秋蛇向穴，不失其节。夫人姜氏，自齐复入。
dui'zhi'huan 兑之涣：鸟鸣巢端，一呼三颠。摇动东西，危魂不安。
dui'zhi'jie 兑之节：命夭不遂，死多鬼祟。妻子啼喑，早失其雄。
dui'zhi'zhong'fu 兑之中孚：茆屋结席，崇我文德。三辰旗旗，家受行福。
dui'zhi'xiao'guo 兑之小过：罗网四张，鸟无所翔。征伐困极，饥穷不食。
dui'zhi'ji'ji 兑之既济：天成地安，积石为山。润洽万里，人赖其欢。
dui'zhi'wei'ji 兑之未济：铜人铁柱，暴露劳苦。终日卒岁，无有休止。
huan'zhi'huan 涣之涣：望幸不到，文章未就。王子逐兔，犬踦不得。
huan'zhi'gan 涣之乾：焱风阻越，车驰揭揭。弃古追思，失其和节，心忧惙惙。
huan'zhi'kun 涣之坤：蛇得泽草，不忧危殆。
huan'zhi'tun 涣之屯：两犬争鬭，股疮无处。不成仇雠，行解邪去。
huan'zhi'meng 涣之蒙：因祸受福，喜盈其室，求事皆得。
huan'zhi'xu 涣之需：江多宝珠，海多大鱼。疾行亟至，可以得财。
huan'zhi'song 涣之讼：二牛生狗，以戌为母。荆夷上侵，姬伯出走。
huan'zhi'shi 涣之师：安息康居，异国穹庐。非吾习俗，使我心忧。
huan'zhi'bi 涣之比：行触天罡，马死车伤。身无聊赖，困穷乞粮。
huan'zhi'xiao'xu 涣之小畜：裸裎逐狐，为人观笑。牝鸡司晨，主作乱门。
huan'zhi'lv 涣之履：为季求妇，家在东海。水长无船，不见所观。
huan'zhi'tai 涣之涣之泰：男女合室，二姓同食。婚姻孔云，宜我多孙。
huan'zhi'pi 涣之否：太微帝室，黄帝所直。藩屏周卫，不可得入。常安常存，终无祸患。
huan'zhi'tong'ren 涣之同人：赍金观市，欲买骝子。猾偷窃发，盗我黄宝。
huan'zhi'da'you 涣之大有：三人俱行，欲归故乡。望邑入门，拜见家欢。
huan'zhi'qian 涣之谦：娶于姜吕，驾迎新妇。少齐在门，夫子悦喜。
huan'zhi'yu 涣之豫：伯仲旅行，南求大?。长孟病足，倩季负囊。柳下之贞，不失骊黄。
huan'zhi'sui 涣之随：洁身白齿，衰老复起。多孙众子，宜利姑舅。
huan'zhi'gu 涣之蛊：独宿憎夜，嫫母畏昼。平王逐建，荆子忧惧。
huan'zhi'lin 涣之临：追亡逐北，呼还幼叔。至止而得，复归其室。
huan'zhi'guan 涣之观：鸟飞无翼，兔走折足。虽欲会同，未得医功。
huan'zhi'ke'shi 涣之噬嗑：抱空握虚，鸣教我贾，利去不来。
huan'zhi'ben 涣之贲：山作天池，陆地为海。
huan'zhi'bo 涣之剥：为虎所啮，太山之阳。众多从者，莫敢救藏。
huan'zhi'fu 涣之复：逶迤四牡，思归念母。王事靡盬，不得安处。
huan'zhi'wu'wang 涣之无妄：猕猴所言，语无成全。误我白乌，使乾口来。
huan'zhi'da'xu 涣之大畜：飞不远去，卑斯内侍，禄养未富。
huan'zhi'yi 涣之颐：大尾细腰，重不可摇。阴权制国，平子逐昭。
huan'zhi'da'guo 涣之大过：旦生夕死，名曰婴鬼，不可得视。
huan'zhi'kan 涣之坎：子畏于匡，困于陈蔡。明德不危，竟免厄害。
huan'zhi'li 涣之离：畏昏潜处，候时朗昭。卒逢白日，为世荣主。
huan'zhi'xian 涣之咸：白乌衘饵，鸣呼其子。施翼张翅，来从其母。
huan'zhi'heng 涣之恒：宫商角徵，五音和起。君臣父子，弟顺有序。唐虞袭德，国无灾咎。
huan'zhi'dun 涣之遯：季姬踟蹰，望孟城隅。终日至暮，不见齐侯。
huan'zhi'da'zhaung 涣之大壮：鬼哭于社，悲伤无后。甲子昧爽，殷人绝祀。
huan'zhi'jin 涣之晋：天子所予，福禄常在，不忧危殆。
huan'zhi'ming'yi 涣之明夷：比目附翼，相恃为福。姜氏季女，与君合德。
huan'zhi'jia'ren 涣之家人：翕翕??，稍崩坠颠，灭其令名。
huan'zhi'kui 涣之睽：折若蔽目，不见稚叔。三足孤乌，远去家室。
huan'zhi'jian 涣之蹇：羊肠九萦，相推稍前。止须王孙，乃能上天。
huan'zhi'jie 涣之解：坤厚地德，庶物蕃息。平康正直，以绥大福。
huan'zhi'sun 涣之损：有莘外野，不逢尧主。复居穷处，心劳志苦。
huan'zhi'yi 涣之益：胸长景行，来观桑柘。上伯日喜，都叔允藏。
huan'zhi'kuai 涣之夬：周师伐纣，胜于牧野。甲子平旦，天下大喜。
huan'zhi'gou 涣之姤：逾江求橘，并得大栗。烹羊食炙，饮酒歌笑。
huan'zhi'cui 涣之萃：敝笱在梁，鲂逸不禁。渔父劳苦，筐筥乾口，空虚无有。
huan'zhi'sheng 涣之升：生有阴孽，制家非阳，遂送还床。张氏易公，忧祸重凶。
huan'zhi'kun 涣之困：绝域异路，多有怪恶。使我惊惧，思我故处。
huan'zhi'jing 涣之井：迷行失道，不得牛马。百贾逃亡，市空无有。
huan'zhi'ge 涣之革：雌鸑生雏，祥异兴起。束云龙腾，民戴为父。
huan'zhi'ding 涣之鼎：垒垒累累，如岐之室。畜一息十，古公始邑。
huan'zhi'zhen 涣之震：疮疡疥搔，孝妇不省。君多疣赘，四牡作去。
huan'zhi'gen 涣之艮：羊头兔足，羸瘦少肉。漏囊败粟，利无所得。
huan'zhi'jian 涣之渐：薛篾从靡，空无谁是。言季子明，乐减少解。
huan'zhi'gui'mei 涣之归妺：妺为貌熟，败君正色。作事不成，自为心贼。
huan'zhi'feng 涣之丰：四马共辕，东上太山。騂骊同力，无有重难，与君笑言。
huan'zhi'lv 涣之旅：阴变为阳，女化作男。治道得通，君臣相承。
huan'zhi'xun 涣之巽：南国少子，材略美好。求我长女，贱薄不与。反得丑恶，后乃天悔。
huan'zhi'dui 涣之兑：昭公失常，季女悖狂。逊齐处野，丧其宠光。
huan'zhi'jie 涣之节：天山紫芝，雍梁朱草。长生和气，王以为宝。公尸宥食，福禄来处。
huan'zhi'zhong'fu 涣之中孚：牵羊不前，与心戾旋。闻言不信，误绐大人。
huan'zhi'xiao'guo 涣之小过：东山西山，各自止安。心虽相望，竟未同堂。
huan'zhi'ji'ji 涣之既济：鹿求其子，虎庐之里。唐伯季耳，贫不我许。
huan'zhi'wei'ji 涣之未济：三虎上山，更相喧唤。志心不亲，如仇与怨。
jie'zhi'jie 节之节：海为水王，聪圣且明。百流归德，无有叛逆，常饶优足。
jie'zhi'gan 节之乾：虎呴怒咆，慎戒外忧。上下俱搔，士民无聊。
jie'zhi'kun 节之坤：探巢得雏，仇鹊俱来，使我心忧。
jie'zhi'tun 节之屯：日望一食，常恐不足，禄命寡薄。
jie'zhi'meng 节之蒙：良马疾走，千里一宿。逃难它乡，谁能追复？
jie'zhi'xu 节之需：鹊巢乌城，上下不亲。内外乖畔，子走矢顽。
